Common Space Types1,"LPD Allowances, W/ft2",RCR Threshold,a,b,c,d,e,f,g,h,i
Atrium,,,,,,,,,,,
<20 ft in height,0.39,NA,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
≥20 ft and ≤40 ft in height,0.48,NA,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
>40 ft in height,0.6,11,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Audience Seating Area,,,,,,,,,,,
Auditorium,0.61,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Gymnasium,0.23,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Motion picture theater,0.27,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Penitentiary,0.67,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Performing arts theater,1.16,8,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Religious facility,0.72,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Sports arena,0.33,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
All other audience seating areas,0.23,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Banking Activity Area,0.61,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Breakroom (See Lounge/Breakroom),,,,,,,,,,,
Classroom/Lecture Hall/Training Room,,,,,,,,,,,
Penitentiary,0.89,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
All other classrooms/lecture halls/training rooms,0.71,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Conference/Meeting/Multipurpose Room,0.97,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Confinement Cells,0.7,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Copy/Print Room,0.31,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Corridor2,,,,,,,,,,,
Facility for the visually impaired (and not used primarily by the staff)3,0.71,width <8 ft,REQ,,,,REQ,REQ,REQ,ADD2,ADD2
Hospital,0.71,width <8 ft,REQ,,,,REQ,REQ,ADD2,ADD2,ADD2
All other corridors,0.41,width <8 ft,REQ,,,,REQ,REQ,REQ,ADD2,ADD2
Courtroom,1.2,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Computer Room,0.94,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Dining Area,,,,,,,,,,,
Penitentiary,0.42,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Facility for the visually impaired (and not used primarily by staff)3,1.27,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Bar/lounge or leisure dining,0.86,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Cafeteria or fast food dining,0.4,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Family dining,0.6,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
All other dining areas,0.43,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Electrical/Mechanical Room7,0.43,6,REQ,,,,REQ,REQ,,,
Emergency Vehicle Garage,0.52,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Food Preparation Area,1.09,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Guest Room,0.41,6,See Section 9.4.1.3(b).,,,,,,,,
Laboratory,,,,,,,,,,,
In or as a classroom,1.11,6,REQ,ADD1,ADD1,REQ,REQ,REQ,REQ,ADD2,ADD2
All other laboratories,1.33,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Laundry/Washing Area,0.53,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
"Loading Dock, Interior",0.88,6,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Lobby,,,,,,,,,,,
Facility for the visually impaired (and not used primarily by the staff)3,1.69,4,REQ,,,,REQ,REQ,REQ,ADD2,ADD2
Elevator,0.65,6,REQ,,,,REQ,REQ,,ADD2,ADD2
Hotel,0.51,4,REQ,,,,REQ,REQ,,ADD2,ADD2
Motion picture theater,0.23,4,REQ,,,,REQ,REQ,,ADD2,ADD2
Performing arts theater,1.25,6,REQ,,,,REQ,REQ,REQ,ADD2,ADD2
All other lobbies,0.84,4,REQ,,,,REQ,REQ,REQ,ADD2,ADD2
Locker Room,0.52,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Lounge/Breakroom,,,,,,,,,,,
Healthcare facility,0.42,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
All other lounges/breakrooms,0.59,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Office,,,,,,,,,,,
Enclosed and ≤250 ft2,0.74,8,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Enclosed and >250 ft2,0.66,8,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Open plan,0.61,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
"Parking Area, Interior",0.15,4,See Section 9.4.1.2.,,,,,,,,
Pharmacy Area,1.66,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Restroom,,,,,,,,,,,
Facility for the visually impaired (and not used primarily by the staff)3,1.26,8,,,,,REQ,REQ,,REQ,
All other restrooms,0.63,8,,,,,REQ,REQ,,REQ,
Sales Area4,1.05,6,REQ,ADD1,ADD1,REQ,,REQ,,ADD2,ADD2
"Seating Area, General",0.23,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Stairway,The space containing the stairway shall determine the LPD and control requirements for the stairway.,,,,,,,,,,
Stairwell,0.49,10,,,,REQ,REQ,REQ,REQ,ADD2,ADD2
Storage Room,,,,,,,,,,,
<50 ft2,0.51,9,REQ,,,,,,,ADD2,ADD2
≥50 ft2,0.38,6,REQ,ADD1,ADD1,,REQ,REQ,,REQ,
Vehicular Maintenance Area,0.6,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Workshop,1.26,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Facility for the Visually Impaired3,,,,,,,,,,,
Chapel (used primarily by residents),0.7,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Recreation room/common living room (and not used primarily by staff),1.77,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
"Automotive (See ""Vehicular Maintenance Area"")",,,,,,,,,,,
Convention Center—Exhibit Space,0.61,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Dormitory—Living Quarters,0.5,8,REQ,,,,,,,,
Fire Station—Sleeping Quarters,0.23,6,REQ,,,,,,,,
Gymnasium/Fitness Center,,,,,,,,,,,
Exercise area,0.9,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Playing area,0.85,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Healthcare Facility,,,,,,,,,,,
Exam/treatment room,1.4,8,REQ,,,REQ,REQ,REQ,,ADD2,ADD2
Imaging room,0.94,6,REQ,,,REQ,,,,ADD2,ADD2
Medical supply room,0.62,6,"(See ""Storage Room"" under ""Common Space Types"" for control requirements.)",,,,,,,,
Nursery,0.92,6,REQ,,,REQ,REQ,REQ,,ADD2,ADD2
Nurse's station,1.17,6,REQ,,,REQ,REQ,REQ,,ADD2,ADD2
Operating room,2.26,6,REQ,,,REQ,,,,ADD2,ADD2
Patient room,0.68,6,REQ,,,REQ,REQ,REQ,,ADD2,ADD2
Physical therapy room,0.91,6,REQ,,,REQ,REQ,REQ,,ADD2,ADD2
Recovery room,1.25,6,REQ,,,REQ,REQ,REQ,,ADD2,ADD2
Library,,,,,,,,,,,
Reading area,0.96,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Stacks,1.18,4,REQ,ADD1,ADD1,REQ,REQ,REQ,REQ,ADD2,ADD2
Manufacturing Facility,,,,,,,,,,,
Detailed manufacturing area,0.8,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Equipment room,0.76,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Extra high bay area,1.42,8,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
(>50 ft floor-to-ceiling height),,,,,,,,,,,
High bay area,1.24,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
(25 to 50 ft floor-to-ceiling height),,,,,,,,,,,
Low bay area,0.86,3,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
(<25 ft floor-to-ceiling height),,,,,,,,,,,
Museum,,,,,,,,,,,
General exhibition area,0.31,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Restoration room,1.1,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Performing Arts Theater—Dressing Room,0.41,6,REQ,ADD1,ADD1,REQ,REQ,REQ,,REQ,
Post Office—Sorting Area,0.76,4,REQ,ADD1,ADD1,REQ,REQ,REQ,REQ,ADD2,ADD2
Religious Facility,,,,,,,,,,,
Fellowship hall,0.54,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Worship/pulpit/choir area,0.85,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Retail Facilities,,,,,,,,,,,
Dressing/fitting room,0.51,8,REQ,ADD1,ADD1,REQ,,REQ,,REQ,
Mall concourse,0.82,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Sports Arena—Playing Area8,,,,,,,,,,,
Class I facility,2.94,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Class II facility,2.01,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Class III facility,1.3,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Class IV facility,0.86,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Transportation Facility,,,,,,,,,,,
Baggage/carousel area,0.39,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Airport concourse,0.25,4,REQ,ADD1,ADD1,,REQ,REQ,,ADD2,ADD2
Ticket counter,0.51,4,REQ,ADD1,ADD1,REQ,REQ,REQ,,ADD2,ADD2
Warehouse—Storage Area,,,,,,,,,,,
"Medium to bulky, palletized items",0.33,4,REQ,ADD1,ADD1,REQ,REQ,REQ,REQ,ADD2,ADD2
"Smaller, hand-carried items5",0.69,6,REQ,ADD1,ADD1,REQ,REQ,REQ,REQ,ADD2,ADD2
,,,,,,,,,,,
"In cases where both a common space type and a building area specific space type are listed, the building area specific space type shall apply",,,,,,,,,,,
"In corridors, the extra lighting power density allowance is permitted when the width of the corridor is less than 8 ft and is not based on the RCR.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,