.,,,,,,,,,
"Table 5.5-0 Building Envelope Requirements for Climate Zone 0 (A,B)*",,,,,,,,,
Opaque Elements,Nonresidential,Residential,Semiheated,,,,,,
Assembly Maximum,Insulation,Assembly Maximum,Insulation,Assembly Maximum,Insulation,,,,
,Min. R-Value,,Min. R-Value,,Min. R-Value,,,,
Roofs,,,,,,,,,
Insulation entirely above deck,U-0.039,R-25 c.i.,U-0.032,R-30 c.i.,U-0.218,R-3.8 c.i.,,,
Metal buildinga,U-0.041,R-10 + R-19 FC,U-0.041,R-10 + R-19 FC,U-0.115,R-10,,,
Attic and other,U-0.027,R-38,U-0.027,R-38,U-0.081,R-13,,,
"Walls, above-Grade",,,,,,,,,
Mass,U-0.580,NR,U-0.151b,R-5.7 c.i.b,U-0.580,NR,,,
Metal building,U-0.094,R-0 + R-9.8 c.i.,U-0.094,R-0 + R-9.8 c.i.,U-0.352,NR,,,
Steel-framed,U-0.124,R-13,U-0.124,R-13,U-0.352,NR,,,
Wood-framed and other,U-0.089,R-13,U-0.089,R-13,U-0.292,NR,,,
"Wall, below-Grade",,,,,,,,,
Below-grade wall,C-1.140,NR,C-1.140,NR,C-1.140,NR,,,
Floors,,,,,,,,,
Mass,U-0.322,NR,U-0.322,NR,U-0.322,NR,,,
Steel joist,U-0.350,NR,U-0.350,NR,U-0.350,NR,,,
Wood-framed and other,U-0.282,NR,U-0.282,NR,U-0.282,NR,,,
Slab-on-Grade Floors,,,,,,,,,
Unheated,F-0.730,NR,F-0.730,NR,F-0.730,NR,,,
Heated,F-1.020,R-7.5 for 12 in.,F-1.020,R-7.5 for 12 in.,F-1.020,R-7.5 for 12 in.,,,
Opaque Doors,,,,,,,,,
Swinging,U-0.370,,U-0.370,,U-0.700,,,,
Nonswinging,U-0.310,,U-0.310,,U-1.450,,,,
Fenestration,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC
"Vertical Fenestration, 0% to 40% of Wall",,,,,,,,,
Fixed,0.5,0.22,1.1,0.5,0.22,1.1,1.2,NR,NR
Operable,0.62,0.2,(for all types),0.62,0.2,(for all types),1.2,(for all types),(for all types)
Entrance door,0.83,0.2,,0.83,0.2,,1.1,,
"Skylight, 0% to 3% of Roof",,,,,,,,,
All types,0.7,0.3,NR,0.7,0.3,NR,1.8,NR,NR
"* The following definitions apply: c.i. = continuous insulation (see Section 3.2), FC = filled cavity (see Section A2.3.2.5), NR = no (insulation) requirement.",,,,,,,,,
"When using the R-value compliance method for metal building roofs, a thermal spacer block is required (see Section A2.3.2).",,,,,,,,,
Exception to Section 5.5.3.2 applies formass walls above grade.,,,,,,,,,
"Table 5.5-1 Building Envelope Requirements for Climate Zone 1 (A,B)*",,,,,,,,,
Opaque Elements,Nonresidential,Residential,Semiheated,,,,,,
Assembly Maximum,Insulation,Assembly Maximum,Insulation,Assembly Maximum,Insulation,,,,
,Min. R-Value,,Min. R-Value,,Min. R-Value,,,,
Roofs,,,,,,,,,
Insulation entirely above deck,U-0.048,R-20 c.i.,U-0.039,R-25 c.i.,U-0.218,R-3.8 c.i.,,,
Metal buildinga,U-0.041,R-10 + R-19 FC,U-0.041,R-10 + R-19 FC,U-0.115,R-10,,,
Attic and other,U-0.027,R-38,U-0.027,R-38,U-0.081,R-13,,,
"Walls, above Grade",,,,,,,,,
Mass,U-0.580,NR,U-0.151b,R-5.7 c.i.b,U-0.580,NR,,,
Metal building,U-0.094,R-0 + R-9.8 c.i.,U-0.094,R-0 + R-9.8 c.i.,U-0.352,NR,,,
Steel-framed,U-0.124,R-13,U-0.124,R-13,U-0.352,NR,,,
Wood-framed and other,U-0.089,R-13,U-0.089,R-13,U-0.292,NR,,,
"Wall, below Grade",,,,,,,,,
Below-grade wall,C-1.140,NR,C-1.140,NR,C-1.140,NR,,,
Floors,,,,,,,,,
Mass,U-0.322,NR,U-0.322,NR,U-0.322,NR,,,
Steel joist,U-0.350,NR,U-0.350,NR,U-0.350,NR,,,
Wood-framed and other,U-0.282,NR,U-0.282,NR,U-0.282,NR,,,
Slab-on-Grade Floors,,,,,,,,,
Unheated,F-0.730,NR,F-0.730,NR,F-0.730,NR,,,
Heated,F-1.020,R-7.5 for 12 in.,F-1.020,R-7.5 for 12 in.,F-1.020,R-7.5 for 12 in.,,,
Opaque Doors,,,,,,,,,
Swinging,U-0.370,,,U-0.370,,,U-0.700,,
Nonswinging,U-0.310,,,U-0.310,,,U-1.450,,
Fenestration,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC
"Vertical Fenestration, 0% to 40% of Wall",,,,,,,,,
Fixed,0.5,0.23,1.1,0.5,0.23,1.1,1.2,NR,NR
Operable,0.62,0.21,(for all types),0.62,0.21,(for all types),1.2,(for all types),(for all types)
Entrance door,0.83,0.21,,0.83,0.21,,1.1,,
"Skylight, 0% to 3% of Roof",,,,,,,,,
All types,0.7,0.3,NR,0.7,0.3,NR,1.8,NR,NR
"* The following definitions apply: c.i. = continuous insulation (see Section 3.2), FC = filled cavity (see Section A2.3.2.5), NR = no (insulation) requirement.",,,,,,,,,
"When using the R-value compliance method for metal building roofs, a thermal spacer block is required (see Section A2.3.2).",,,,,,,,,
Exception to Section 5.5.3.2 applies formass walls above grade.,,,,,,,,,
"Table 5.5-2 Building Envelope Requirements for Climate Zone 2 (A,B)*",,,,,,,,,
Opaque Elements,Nonresidential,Residential,Semiheated,,,,,,
Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,,,,
Roofs,,,,,,,,,
Insulation entirely above deck,U-0.039,R-25 c.i.,U-0.039,R-25 c.i.,U-0.173,R-5 c.i.,,,
Metal buildinga,U-0.041,R-10 + R-19 FC,U-0.041,R-10 + R-19 FC,U-0.096,R-16,,,
Attic and other,U-0.027,R-38,U-0.027,R-38,U-0.053,R-19,,,
"Walls, above Grade",,,,,,,,,
Mass,U-0.151b,R-5.7 c.i.b,U-0.123,R-7.6 c.i.,U-0.580,NR,,,
Metal building,U-0.094,R-0 + R-9.8 c.i.,U-0.094,R-0 + R-9.8 c.i.,U-0.162,R-13,,,
Steel-framed,U-0.084,R-13 + R-3.8 c.i.,U-0.064,R-13 + R-7.5 c.i.,U-0.124,R-13,,,
Wood-framed and other,U-0.089,R-13,U-0.089,R-13,U-0.089,R-13,,,
"Wall, below Grade",,,,,,,,,
Below-grade wall,C-1.140,NR,C-1.140,NR,C-1.140,NR,,,
Floors,,,,,,,,,
Mass,U-0.107,R-6.3 c.i.,U-0.087,R-8.3 c.i.,U-0.322,NR,,,
Steel joist,U-0.038,R-30,U-0.038,R-30,U-0.069,R-13,,,
Wood-framed and other,U-0.033,R-30,U-0.033,R-30,U-0.066,R-13,,,
Slab-on-Grade Floors,,,,,,,,,
Unheated,F-0.730,NR,F-0.730,NR,F-0.730,NR,,,
Heated,F-0.900,R-10 for 24 in.,F-0.860,R-15 for 24 in.,F-1.020,R-7.5 for 12 in.,,,
Opaque Doors,,,,,,,,,
Swinging,U-0.370,,,U-0.370,,,U-0.700,,
Nonswinging,U-0.310,,,U-0.310,,,U-1.450,,
Fenestration,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC
"Vertical Fenestration, 0% to 40% of Wall",,,,,,,,,
Fixed,0.45,0.25,1.1,0.45,0.25,1.1,0.5,NR,NR
Operable,0.6,0.23,(for all types),0.6,0.23,(for all types),0.65,(for all types),(for all types)
Entrance door,0.77,0.23,,0.77,0.23,,0.77,,
"Skylight, 0% to 3% of Roof",,,,,,,,,
All types,0.65,0.35,NR,0.65,0.35,NR,U-1.80,NR,NR
"* The following definitions apply: c.i. = continuous insulation (see Section 3.2), FC = filled cavity (see Section A2.3.2.5), NR = no (insulation) requirement.",,,,,,,,,
"When using the R-value compliance method for metal building roofs, a thermal spacer block is required (see Section A2.3.2).",,,,,,,,,
Exception to Section 5.5.3.2 applies formass walls above grade.,,,,,,,,,
"Table 5.5-3 Building Envelope Requirements for Climate Zone 3 (A,B,C)*",,,,,,,,,
Opaque Elements,Nonresidential,Residential,Semiheated,,,,,,
Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,,,,
Roofs,,,,,,,,,
Insulation entirely above deck,U-0.039,R-25 c.i.,U-0.039,R-25 c.i.,U-0.119,R-7.6 c.i.,,,
Metal buildinga,U-0.041,R-10 + R-19 FC,U-0.041,R-10 + R-19 FC,U-0.096,R-16,,,
Attic and other,U-0.027,R-38,U-0.027,R-38,U-0.053,R-19,,,
"Walls, above Grade",,,,,,,,,
Mass,U-0.123,R-7.6 c.i.,U-0.104,R-9.5 c.i.,U-0.580,NR,,,
Metal building,U-0.094,R-0 + R-9.8 c.i.,U-0.072,R-0 + R-13 c.i.,U-0.162,R-13,,,
Steel-framed,U-0.077,R-13 + R-5 c.i.,U-0.064,R-13 + R-7.5 c.i.,U-0.124,R-13,,,
Wood-framed and other,U-0.089,R-13,U-0.064,R-13 + R-3.8 c.i. or R-20,U-0.089,R-13,,,
"Wall, below Grade",,,,,,,,,
Below-grade wall,C-1.140,NR,C-1.140,NR,C-1.140,NR,,,
Floors,,,,,,,,,
Mass,U-0.074,R-10 c.i.,U-0.074,R-10 c.i.,U-0.137,R-4.2 c.i.,,,
Steel joist,U-0.038,R-30,U-0.038,R-30,U-0.052,R-19,,,
Wood-framed and other,U-0.033,R-30,U-0.033,R-30,U-0.051,R-19,,,
Slab-on-Grade Floors,,,,,,,,,
Unheated,F-0.730,NR,F-0.540,R-10 for 24 in.,F-0.730,NR,,,
Heated,F-0.860,R-15 for 24 in.,F-0.860,R-15 for 24 in.,F-1.020,R-7.5 for 12 in.,,,
Opaque Doors,,,,,,,,,
Swinging,U-0.370,,,U-0.370,,,U-0.370,,
Nonswinging,U-0.310,,,U-0.310,,,U-0.360,,
Fenestration,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC
"Vertical Fenestration, 0% to 40% of Wall",,,,,,,,,
Fixed,0.42,0.25,1.1,0.42,0.25,1.1,0.5,NR,NR
Operable,0.54,0.23,(for all types),0.54,0.23,(for all types),0.65,(for all types),(for all types)
Entrance door,0.68,0.23,,0.68,0.23,,0.77,,
"Skylight, 0% to 3% of Roof",,,,,,,,,
All types,0.55,0.3,NR,0.55,0.3,NR,0.9,NR,NR
"* The following definitions apply: c.i. = continuous insulation (see Section 3.2), FC = filled cavity (see Section A2.3.2.5), NR = no (insulation) requirement.",,,,,,,,,
"When using the R-value compliance method for metal building roofs, a thermal spacer block is required (see Section A2.3.2).",,,,,,,,,
"Table 5.5-4 Building Envelope Requirements for Climate Zone 4 (A,B,C)*",,,,,,,,,
Opaque Elements,Nonresidential,Residential,Semiheated,,,,,,
Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,,,,
Roofs,,,,,,,,,
Insulation entirely above deck,U-0.032,R-30 c.i.,U-0.032,R-30 c.i.,U-0.093,R-10 c.i.,,,
Metal buildinga,U-0.037,R-19 + R-11 Ls or,U-0.037,R-19 + R-11 Ls or,U-0.082,R-19,,,
,,R-25 + R-8 Ls,,R-25 + R-8 Ls,,,,,
Attic and other,U-0.021,R-49,U-0.021,R-49,U-0.034,R-30,,,
"Walls, above Grade",,,,,,,,,
Mass,U-0.104,R-9.5 c.i.,U-0.090,R-11.4 c.i.,U-0.580,NR,,,
Metal building,U-0.060,R-0 + R-15.8 c.i.,U-0.050,R-0 + R-19 c.i.,U-0.162,R-13,,,
Steel-framed,U-0.064,R-13 + R-7.5 c.i.,U-0.064,R-13 + R-7.5 c.i.,U-0.124,R-13,,,
Wood-framed and other,U-0.064,R-13 + R-3.8 c.i. or R-20,U-0.064,R-13 + R-3.8 c.i. or R-20,U-0.089,R-13,,,
"Wall, below Grade",,,,,,,,,
Below-grade wall,C-0.119,R-7.5 c.i.,C-0.092,R-10 c.i.,C-1.140,NR,,,
Floors,,,,,,,,,
Mass,U-0.057,R-14.6 c.i.,U-0.051,R-16.7 c.i.,U-0.107,R-6.3 c.i.,,,
Steel joist,U-0.038,R-30,U-0.038,R-30,U-0.052,R-19,,,
Wood-framed and other,U-0.033,R-30,U-0.033,R-30,U-0.051,R-19,,,
Slab-on-Grade Floors,,,,,,,,,
Unheated,F-0.520,R-15 for 24 in.,F-0.520,R-15 for 24 in.,F-0.730,NR,,,
Heated,F-0.843,R-20 for 24 in.,F-0.688,R-20 for 48 in.,F-0.900,R-10 for 24 in.,,,
Opaque Doors,,,,,,,,,
Swinging,U-0.370,,,U-0.370,,,U-0.370,,
Nonswinging,U-0.310,,,U-0.310,,,U-0.360,,
Fenestration,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC
"Vertical Fenestration, 0% to 40% of Wall",,,,,,,,,
Fixed,0.36,0.36,1.1,0.36,0.36,1.1,0.5,NR,NR
Operable,0.45,0.33,(for all types),0.45,0.33,(for all types),0.65,(for all types),(for all types)
Entrance door,0.63,0.33,,0.63,0.33,,0.77,,
"Skylight, 0% to 3% of Roof",,,,,,,,,
All types,0.5,0.4,NR,0.5,0.4,NR,0.75,NR,NR
"* The following definitions apply: c.i. = continuous insulation (see Section 3.2), FC = filled cavity (see Section A2.3.2.5), Ls = liner system (see Section A2.3.2.4), NR = no (insulation) requirement.",,,,,,,,,
"When using the R-value compliance method for metal building roofs, a thermal spacer block is required (see Section A2.3.2).",,,,,,,,,
"Table 5.5-5 Building Envelope Requirements for Climate Zone 5 (A,B,C)*",,,,,,,,,
Opaque Elements,Nonresidential,Residential,Semiheated,,,,,,
Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,,,,
Roofs,,,,,,,,,
Insulation entirely above deck,U-0.032,R-30 c.i.,U-0.032,R-30 c.i.,U-0.063,R-15 c.i.,,,
Metal buildinga,U-0.037,R-19 + R-11 Ls or,U-0.037,R-19 + R-11 Ls or,U-0.082,R-19,,,
,,R-25 + R-8 Ls,,R-25 + R-8 Ls,,,,,
Attic and other,U-0.021,R-49,U-0.021,R-49,U-0.034,R-30,,,
"Walls, above Grade",,,,,,,,,
Mass,U-0.090,R-11.4 c.i.,U-0.080,R-13.3 c.i.,U-0.151b,R-5.7 c.i.b,,,
Metal building,U-0.050,R-0 + R-19 c.i.,U-0.050,R-0 + R-19 c.i.,U-0.094,R-0 + R-9.8 c.i.,,,
Steel-framed,U-0.055,R-13 + R-10 c.i.,U-0.055,R-13 + R-10 c.i.,U-0.084,R-13 + R-3.8 c.i.,,,
Wood-framed and other,U-0.051,R-13 + R-7.5 c.i. or,U-0.051,R-13 + R-7.5 c.i. or,U-0.089,R-13,,,
,,R-19 + R-5 c.i.,,R-19 + R-5 c.i.,,,,,
"Wall, below Grade",,,,,,,,,
Below-grade wall,C-0.119,R-7.5 c.i.,C-0.092,R-10 c.i.,C-1.140,NR,,,
Floors,,,,,,,,,
Mass,U-0.057,R-14.6 c.i.,U-0.051,R-16.7 c.i.,U-0.107,R-6.3 c.i.,,,
Steel joist,U-0.038,R-30,U-0.038,R-30,U-0.052,R-19,,,
Wood-framed and other,U-0.033,R-30,U-0.033,R-30,U-0.051,R-19,,,
Slab-on-Grade Floors,,,,,,,,,
Unheated,F-0.520,R-15 for 24 in.,F-0.510,R-20 for 24 in.,F-0.730,NR,,,
Heated,F-0.688,R-20 for 48 in.,F-0.688,R-20 for 48 in.,F-0.900,R-10 for 24 in.,,,
Opaque Doors,,,,,,,,,
Swinging,U-0.370,,,U-0.370,,,U-0.370,,
Nonswinging,U-0.310,,,U-0.310,,,U-0.360,,
Fenestration,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC
"Vertical Fenestration, 0% to 40% of Wall",,,,,,,,,
Fixed,0.36,0.38,1.1,0.36,0.38,1.1,0.5,NR,NR
Operable,0.45,0.33,(for all types),0.45,0.33,(for all types),0.65,(for all types),(for all types)
Entrance door,0.63,0.33,,0.63,0.33,,0.77,,
"Skylight, 0% to 3% of Roof",,,,,,,,,
All types,0.5,0.4,NR,0.5,0.4,NR,0.75,NR,NR
"* The following definitions apply: c.i. = continuous insulation (see Section 3.2), FC = filled cavity (see Section A2.3.2.5), Ls = liner system (see Section A2.3.2.4), NR = no (insulation) requirement.",,,,,,,,,
"When using the R-value compliance method for metal building roofs, a thermal spacer block is required (see Section A2.3.2).",,,,,,,,,
Exception to Section 5.5.3.2 applies formass walls above grade.,,,,,,,,,
"Table 5.5-6 Building Envelope Requirements for Climate Zone 6 (A,B)*",,,,,,,,,
Opaque Elements,Nonresidential,Residential,Semiheated,,,,,,
Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,,,,
Roofs,,,,,,,,,
Insulation entirely above deck,U-0.032,R-30 c.i.,U-0.032,R-30 c.i.,U-0.063,R-15 c.i.,,,
Metal buildinga,U-0.031,R-25 + R-11 Ls,U-0.029,R-30 + R-11 Ls,U-0.060,R-19 + R-19,,,
Attic and other,U-0.021,R-49,U-0.021,R-49,U-0.034,R-30,,,
"Walls, above Grade",,,,,,,,,
Mass,U-0.080,R-13.3 c.i.,U-0.071,R-15.2 c.i.,U-0.151b,R-5.7 c.i.b,,,
Metal building,U-0.050,R-0 + R-19 c.i.,U-0.050,R-0 + R-19 c.i.,U-0.094,R-0 + R-9.8 c.i.,,,
Steel-framed,U-0.049,R-13 + R-12.5 c.i.,U-0.049,R-13 + R-12.5 c.i.,U-0.084,R-13 + R-3.8 c.i.,,,
Wood-framed and other,U-0.051,R-13 + R-7.5 c.i. or,U-0.051,R-13 + R-7.5 c.i. or,U-0.089,R-13,,,
,,R-19 + R-5 c.i.,,R-19 + R-5 c.i.,,,,,
"Wall, below Grade",,,,,,,,,
Below-grade wall,C-0.092,R-10 c.i.,C-0.063,R-15 c.i.,C-0.119,R-7.5 c.i,,,
Floors,,,,,,,,,
Mass,U-0.051,R-16.7 c.i.,U-0.051,R-16.7 c.i.,U-0.087,R-8.3 c.i.,,,
Steel joist,U-0.032,R-38,U-0.032,R-38,U-0.052,R-19,,,
Wood-framed and other,U-0.027,R-38,U-0.027,R-38,U-0.051,R-19,,,
Slab-on-Grade Floors,,,,,,,,,
Unheated,F-0.510,R-20 for 24 in.,F-0.434,R-20 for 48 in.,F-0.730,NR,,,
Heated,F-0.688,R-20 for 48 in.,F-0.671,R-25 for 48 in.,F-0.860,R-15 for 24 in.,,,
Opaque Doors,,,,,,,,,
Swinging,U-0.370,,,U-0.370,,,U-0.370,,
Nonswinging,U-0.310,,,U-0.310,,,U-0.360,,
Fenestration,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC
"Vertical Fenestration, 0% to 40% of Wall",,,,,,,,,
Fixed,0.34,0.38,1.1,0.34,0.38,1.1,0.39,NR,NR
Operable,0.42,0.34,(for all types),0.42,0.34,(for all types),0.48,(for all types),(for all types)
Entrance door,0.63,0.34,,0.63,0.34,,0.68,,
"Skylight, 0% to 3% of Roof",,,,,,,,,
All types,0.47,0.4,NR,0.5,0.4,NR,0.75,NR,NR
"* The following definitions apply: c.i. = continuous insulation (see Section 3.2), FC = filled cavity (see Section A2.3.2.5), , Ls = liner system (see Section A2.3.2.4), NR = no (insulation) requirement.",,,,,,,,,
"When using the R-value compliance method for metal building roofs, a thermal spacer block is required (see Section A2.3.2).",,,,,,,,,
Exception to Section 5.5.3.2 applies formass walls above grade.,,,,,,,,,
Table 5.5-7 Building Envelope Requirements for Climate Zone 7*,,,,,,,,,
Opaque Elements,Nonresidential,Residential,Semiheated,,,,,,
Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,,,,
Roofs,,,,,,,,,
Insulation entirely above deck,U-0.028,R-35 c.i.,U-0.028,R-35 c.i.,U-0.039,R-25 c.i.,,,
Metal buildinga,U-0.029,R-30 + R-11 Ls,U-0.029,R-30 + R-11 Ls,U-0.037,R-19 + R-11 Ls or,,,
,,,,,,R-25 + R-8 Ls,,,
Attic and other,U-0.017,R-60,U-0.017,R-60,U-0.027,R-38,,,
"Walls, above Grade",,,,,,,,,
Mass,U-0.071,R-15.2 c.i.,U-0.071,R-15.2 c.i.,U-0.123,R-7.6 c.i.,,,
Metal building,U-0.044,R-0 + R.22.1 c.i.,U-.044,R-0 + R.22.1 c.i.,U-0.072,R-0 + R-13 c.i.,,,
Steel-framed,U-0.049,R-13 + R-12.5 c.i.,U-0.042,R-13 + R-15.6 c.i.,U-0.064,R-13 + R-7.5 c.i.,,,
Wood-framed and other,U-0.051,R-13 + R-7.5 c.i. or,U-0.051,R-13 + R-7.5 c.i. or,U-0.064,R-13 + R-3.8 c.i.,,,
,,R-19 + R-5 c.i.,,R-19 + R-5 c.i.,,,,,
"Wall, below Grade",,,,,,,,,
Below-grade wall,C-0.063,R-15 c.i.,C-0.063,R-15 c.i.,C-0.119,R-7.5 c.i.,,,
Floors,,,,,,,,,
Mass,U-0.042,R-20.9 c.i.,U-0.042,R-20.9 c.i.,U-0.074,R-10.4 c.i.,,,
Steel joist,U-0.032,R-38,U-0.032,R-38,U-0.052,R-19,,,
Wood-framed and other,U-0.027,R-38,U-0.027,R-38,U-0.051,R-19,,,
Slab-on-Grade Floors,,,,,,,,,
Unheated,F-0.510,R-20 for 24 in.,F-0.434,R-20 for 48 in.,F-0.730,NR,,,
Heated,F-0.671,R-25 for 48 in.,F-0.671,R-25 for 48 in.,F-0.860,R-15 for 24 in.,,,
Opaque Doors,,,,,,,,,
Swinging,U-0.370,,,U-0.370,,,U-0.370,,
Nonswinging,U-0.310,,,U-0.310,,,U-0.310,,
Fenestration,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC
"Vertical Fenestration, 0% to 40% of Wall",,,,,,,,,
Fixed,0.29,0.4,1.1,0.29,0.4,1.1,0.36,NR,NR
Operable,0.36,0.36,(for all types),0.36,0.36,(for all types),0.44,(for all types),(for all types)
Entrance door,0.63,0.36,,0.63,0.36,,0.63,,
"Skylight, 0% to 3% of Roof",,,,,,,,,
All types,0.44,NR,NR,0.44,NR,NR,0.75,NR,NR
"* The following definitions apply: c.i. = continuous insulation (see Section 3.2), FC = filled cavity (see Section A2.3.2.5), Ls = liner system (see Section A2.3.2.4), NR = no (insulation) requirement.",,,,,,,,,
"When using the R-value compliance method for metal building roofs, a thermal spacer block is required (see Section A2.3.2).",,,,,,,,,
Table 5.5-8 Building Envelope Requirements for Climate Zone 8*,,,,,,,,,
Opaque Elements,Nonresidential,Residential,Semiheated,,,,,,
Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,Assembly Maximum,Insulation Min. R-Value,,,,
Roofs,,,,,,,,,
Insulation entirely above deck,U-0.028,R-35 c.i.,U-0.028,R-35 c.i.,U-0.039,R-25 c.i.,,,
Metal buildinga,U-0.026,R-25 + R-11+R-11 Ls,U-0.026,R-25 + R-11+R-11 Ls,U-0.037,R-19 + R-11 Ls or,,,
,,,,,,R-25 + R-8 Ls,,,
Attic and other,U-0.017,R-60,U-0.017,R-60,U-0.027,R-38,,,
"Walls, above Grade",,,,,,,,,
Mass,U-0.048,R-19 c.i.,U-0.048,R-19 c.i.,U-0.104,R-9.5 c.i.,,,
Metal building,U-0.039,R-0 + R-25 c.i.,U-0.039,R-0 + R-25 c.i.,U-0.060,R-0 + R-15.8 c.i.,,,
Steel-framed,U-0.037,R-13 + R-18.8 c.i.,U-0.037,R-13 + R-18.8 c.i.,U-0.064,R-13 + R-7.5 c.i.,,,
Wood-framed and other,U-0.032,R-13 + R-18.8 c.i.,U-0.032,R-13 + R-18.8 c.i.,U-0.051,R-13 + R-7.5 c.i.,,,
"Wall, below Grade",,,,,,,,,
Below-grade wall,C-0.063,R-15 c.i.,C-0.063,R-15 c.i.,C-0.119,R-7.5 c.i.,,,
Floors,,,,,,,,,
Mass,U-0.038,R-23 c.i.,U-0.038,R-23 c.i.,U-0.064,R-12.5 c.i.,,,
Steel joist,U-0.032,R-38,U-0.032,R-38,U-0.052,R-19,,,
Wood-framed and other,U-0.027,R-38,U-0.027,R-38,U-0.033,R-30,,,
Slab-on-Grade Floors,,,,,,,,,
Unheated,F-0.434,R-20 for 48 in.,F-0.424,R-25 for 48 in.,F-0.540,R-10 for 24 in.,,,
Heated,F-0.671,R-25 for 48 in.,F-0.373,R-20 full slab,F-0.860,R-15 for 24 in.,,,
Opaque Doors,,,,,,,,,
Swinging,U-0.370,,,U-0.370,,,U-0.370,,
Nonswinging,U-0.310,,,U-0.310,,,U-0.310,,
Fenestration,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC,Assembly Max. U,Assembly Max. SHGC,Assembly Min. VT/SHGC
"Vertical Fenestration, 0% to 40% of Wall",,,,,,,,,
Fixed,0.26,0.4,1.1,0.26,0.4,1.1,0.36,NR,NR
Operable,0.32,0.36,(for all types),0.32,0.36,(for all types),0.44,(for all types),(for all types)
Entrance door,0.63,0.36,,0.63,0.36,,0.63,,
"Skylight, 0% to 3% of Roof",,,,,,,,,
All types,0.41,NR,NR,0.41,NR,NR,0.75,NR,NR
"* The following definitions apply: c.i. = continuous insulation (see Section 3.2), FC = filled cavity (see Section A2.3.2.5), Ls = liner system (see Section A2.3.2.4), NR = no (insulation) requirement.",,,,,,,,,
"When using the R-value compliance method for metal building roofs, a thermal spacer block is required (see Section A2.3.2).",,,,,,,,,
